profil,quelle,A,B,C,D,Last,a_max,sigma_max,SF
H-Profil,aluminiumnachmass.de,33,32,2.0,1.5,0.3,0.66,0.4618177838633816,346.45699145993126
H-Profil,aluminiumnachmass.de,33,43,2.0,1.5,0.3,0.66,0.3351247603695929,477.43413474893276
H-Profil,aluminiumnachmass.de,32,18,2.0,1.5,0.3,0.66,0.9032050246679324,177.14693301094596
IPE-Profil,rexin-shop.de,64,120,4.4,6.3,0.3,0.34,0.06383384939907874,2506.507151083844
H-Profil,Alu-messing-shop.de,24,16,1.5,1.5,0.3,0.66,1.2529185908351497,127.70183248166974
4-Kant,Alu-messing-shop.de,10,10,1.0,1.0,0.3,0.66,5.237104390243904,30.551233673718773
4-Kant,Alu-messing-shop.de,20,20,2.0,2.0,0.3,0.66,0.9574619817073173,167.1084628495565
4-Kant,Alu-messing-shop.de,60,60,2.0,2.0,0.3,0.66,0.16816880282987962,951.4249807787285
H-Profil,aluminiumnachmass.de,33,32,2.0,1.5,1.0,0.66,1.0621214937055203,150.64190014815856
H-Profil,aluminiumnachmass.de,33,43,2.0,1.5,1.0,0.66,0.7452874433472821,214.68226981176267
H-Profil,aluminiumnachmass.de,32,18,2.0,1.5,1.0,0.66,2.1897707020872876,73.06701101055381
IPE-Profil,rexin-shop.de,64,120,4.4,6.3,1.0,0.66,0.08375525121095682,1910.3279816689137
H-Profil,Alu-messing-shop.de,24,16,1.5,1.5,1.0,0.66,3.250706588502503,49.220068204835094
4-Kant,Alu-messing-shop.de,10,10,1.0,1.0,1.0,0.66,15.572776829268298,10.274339750331974
4-Kant,Alu-messing-shop.de,20,20,2.0,2.0,1.0,0.66,2.249421036585367,71.12941392371827
4-Kant,Alu-messing-shop.de,60,60,2.0,2.0,1.0,0.66,0.28531178536325674,560.7900136206755
H-Profil,aluminiumnachmass.de,33,32,2.0,1.5,3.0,0.66,2.777274950397346,57.61042851630831
H-Profil,aluminiumnachmass.de,33,43,2.0,1.5,3.0,0.66,1.9171808232835377,83.45587336199696
H-Profil,aluminiumnachmass.de,32,18,2.0,1.5,3.0,0.66,5.86567263757116,27.27734905885445
IPE-Profil,rexin-shop.de,64,120,4.4,6.3,3.0,0.66,0.14067354210203692,1137.3851657474063
H-Profil,Alu-messing-shop.de,24,16,1.5,1.5,3.0,0.66,8.958672296123515,17.85978934280621
4-Kant,Alu-messing-shop.de,10,10,1.0,1.0,3.0,0.66,45.10326951219517,3.5474146714960137
